Time,phi,theta,psi,p,q,r,phi_dot,theta_dot,psi_dot,V_NED_x,V_NED_y,V_NED_z,Pos_NED_x,Pos_NED_y,Pos_NED_z
0,0,1.43239,0,15.708,1,0,0,1,0,101.269,0,-2.53172,2.53172,0,-0.0632929
0.025,0.0383917,2.86285,1.01733,15.708,0.99886,0.709414,0.0268025,0.99865,0.710228,101.205,2.7891,-4.35524,5.06185,0.0697276,-0.172174
0.05,0.16423,4.28538,2.99832,15.708,0.995444,1.37859,0.0878519,0.993112,1.38299,101.052,7.72041,-3.74247,7.58814,0.262738,-0.265736
0.075,0.420475,5.68903,5.83737,15.708,0.989759,1.96956,0.178892,0.979929,1.98203,100.743,13.1938,0.496535,10.1067,0.592582,-0.253322
0.1,0.839972,7.05727,9.38208,15.708,0.981818,2.44882,0.292864,0.955211,2.47468,100.21,17.072,8.51408,12.612,1.01938,-0.0404705
0.125,1.44185,8.37,13.4408,15.708,0.971639,2.78917,0.420187,0.916459,2.8335,99.4236,17.348,19.2285,15.0976,1.45308,0.440242
0.15,2.22897,9.60797,17.792,15.708,0.959245,2.97131,0.549515,0.864272,3.0377,98.4316,12.8525,30.5532,17.5583,1.77439,1.20407
0.175,3.18729,10.7587,22.1959,15.708,0.944665,2.98491,0.669038,0.803349,3.07452,97.3646,3.73758,40.0303,19.9925,1.86783,2.20483
0.2,4.28757,11.822,26.4078,15.708,0.927931,2.8292,0.76814,0.742329,2.94044,96.4029,-8.49432,45.6775,22.4025,1.65548,3.34677
0.225,5.48936,12.8137,30.1921,15.708,0.909083,2.51301,0.839005,0.692369,2.64201,95.7087,-21.4891,46.7297,24.7953,1.11825,4.51501
0.25,6.74652,13.766,33.3375,15.708,0.888163,2.05427,0.877666,0.664802,2.19587,95.3503,-32.9269,43.9506,27.179,0.295076,5.61377
0.275,8.01297,14.7236,35.6691,15.708,0.865218,1.479,0.884149,0.668554,1.62775,95.2508,-41.4625,39.3334,29.5603,-0.741486,6.59711
0.3,9.24743,15.7378,37.0593,15.708,0.840301,0.819847,0.861815,0.708044,0.970537,95.1904,-47.3299,35.2545,31.94,-1.92473,7.47847
0.325,10.4167,16.8581,37.4341,15.708,0.813469,0.114186,0.816332,0.782088,0.261696,94.8725,-52.3211,33.3785,34.3119,-3.23276,8.31294
0.35,11.4981,18.1243,36.7761,15.708,0.784783,-0.597952,0.75494,0.883983,-0.45939,94.0395,-59.0829,33.746,36.6628,-4.70983,9.15658
0.375,12.4814,19.5604,35.1234,15.708,0.754308,-1.27617,0.68648,1.00261,-1.15377,92.6003,-69.9422,34.44,38.9778,-6.45839,10.0176
0.4,13.3729,21.1709,32.5671,15.708,0.722113,-1.882,0.622382,1.12432,-1.78466,90.722,-85.6724,32.0495,41.2459,-8.6002,10.8188
0.425,14.2015,22.9403,29.2461,15.708,0.688273,-2.38108,0.578476,1.23524,-2.31851,88.8407,-104.699,22.8687,43.4669,-11.2177,11.3905
0.45,15.0286,24.8362,25.3421,15.708,0.652864,-2.7451,0.577405,1.32358,-2.72547,87.5671,-123.153,4.47468,45.6561,-14.2965,11.5024
0.475,15.9618,26.8151,21.0741,15.708,0.615967,-2.95341,0.651474,1.38156,-2.97964,87.4988,-135.914,-22.8983,47.8436,-17.6944,10.9299
0.5,17.1735,28.8291,16.6917,15.708,0.577666,-2.99419,0.845965,1.40603,-3.05952,88.9937,-138.424,-55.8177,50.0684,-21.155,9.53451
0.525,18.9254,30.8305,12.4675,15.708,0.538048,-2.86513,1.22306,1.39723,-2.94906,91.9876,-128.633,-88.3513,52.3681,-24.3708,7.32572
0.55,21.5982,32.771,8.68651,15.708,0.497204,-2.57355,1.86598,1.35478,-2.63961,95.9433,-108.276,-113.954,54.7667,-27.0777,4.47687
0.575,25.7233,34.5908,5.63028,15.708,0.455227,-2.13599,2.87983,1.27044,-2.13365,99.9761,-82.7993,-127.955,57.2661,-29.1477,1.278
0.6,31.9913,36.1926,3.54854,15.708,0.412212,-1.57728,4.37589,1.11825,-1.45333,103.134,-59.7397,-129.688,59.8444,-30.6412,-1.9642
0.625,41.1622,37.405,2.60195,15.708,0.368258,-0.929093,6.40247,0.846396,-0.660845,104.746,-45.9897,-123.328,62.4631,-31.7909,-5.04739
0.65,53.7221,37.9585,2.7507,15.708,0.323464,-0.228207,8.76847,0.386425,0.103844,104.708,-44.902,-116.911,65.0808,-32.9135,-7.97018
0.675,69.2216,37.5406,3.61227,15.708,0.277933,0.485623,10.8207,-0.291707,0.601491,103.599,-54.3477,-119.688,67.6707,-34.2722,-10.9624
0.7,85.854,35.9785,4.46652,15.708,0.231768,1.17191,11.6116,-1.09059,0.596382,102.556,-66.6014,-138.585,70.2346,-35.9372,-14.427
0.725,101.245,33.408,4.58682,15.708,0.185075,1.79172,10.7452,-1.79452,0.0839841,102.932,-70.3634,-174.988,72.8079,-37.6963,-18.8017
0.75,113.888,30.2041,3.62158,15.708,0.13796,2.3099,8.82626,-2.23675,-0.673863,105.821,-54.5052,-223.11,75.4535,-39.0589,-24.3795
0.775,123.555,26.7649,1.62763,15.708,0.0905312,2.69705,6.74867,-2.40102,-1.39204,111.608,-12.4185,-270.824,78.2437,-39.3694,-31.1501
0.8,130.739,23.391,-1.12607,15.708,0.0428957,2.93122,5.01539,-2.35544,-1.92244,119.712,54.6025,-303.134,81.2365,-38.0043,-38.7284
0.825,136.091,20.283,-4.31798,15.708,-0.00483759,2.99912,3.7364,-2.16978,-2.22837,128.669,136.483,-307.387,84.4532,-34.5922,-46.4131
0.85,140.172,17.5753,-7.64146,15.708,-0.0525599,2.89691,2.84928,-1.89037,-2.32023,136.558,216.834,-278.462,87.8672,-29.1714,-53.3746
0.875,143.405,15.3612,-10.8232,15.708,-0.100162,2.63037,2.25722,-1.54567,-2.22127,141.681,278.349,-221.776,91.4092,-22.2127,-58.919
0.9,146.096,13.7054,-13.6265,15.708,-0.147537,2.21463,1.87852,-1.15598,-1.95707,143.233,309.394,-152.488,94.99,-14.4778,-62.7312
0.925,148.468,12.6458,-15.8527,15.708,-0.194574,1.67327,1.65599,-0.739777,-1.55415,141.707,309.228,-90.6756,98.5327,-6.7471,-64.9981
0.95,150.693,12.1922,-17.3434,15.708,-0.241169,1.03699,1.55302,-0.316688,-1.04074,138.816,289.561,-53.8963,102.003,0.491921,-66.3455
0.975,152.907,12.3234,-17.9839,15.708,-0.287214,0.341897,1.54613,0.0916454,-0.447183,136.927,271.395,-49.7945,105.426,7.2768,-67.5904
1,155.223,12.9852,-17.7055,15.708,-0.332604,-0.372591,1.61685,0.462012,0.194359,138.175,277.844,-71.6138,108.881,14.2229,-69.3807
1.025,157.722,14.09,-16.4875,15.708,-0.377236,-1.06595,1.74452,0.771325,0.850349,143.555,325.213,-98.6314,112.469,22.3532,-71.8465
1.05,160.446,15.522,-14.3591,15.708,-0.421008,-1.69884,1.90136,0.9997,1.48588,152.339,415.43,-101.931,116.278,32.739,-74.3948
1.075,163.384,17.1474,-11.4023,15.708,-0.46382,-2.23536,2.05154,1.1347,2.06429,162.066,532.82,-54.0747,120.33,46.0595,-75.7467
1.1,166.471,18.8314,-7.75348,15.708,-0.505576,-2.64509,2.15511,1.17567,2.54733,169.202,647.043,60.3668,124.56,62.2355,-74.2375
1.125,169.589,20.4587,-3.60335,15.708,-0.546179,-2.90479,2.1762,1.1361,2.89734,170.297,722.043,237.324,128.817,80.2866,-68.3044
1.15,172.585,21.9516,0.811188,15.708,-0.585537,-2.99971,2.09212,1.04225,3.08193,163.279,728.472,452.216,132.899,98.4984,-56.999
1.175,175.306,23.28,5.22261,15.708,-0.62356,-2.92448,1.89909,0.927398,3.07975,148.362,655.084,666.891,136.608,114.876,-40.3267
1.2,177.614,24.4596,9.35465,15.708,-0.660162,-2.68337,1.61135,0.823524,2.88471,128.129,514.189,842.848,139.811,127.73,-19.2555
1.225,179.411,25.5392,12.9449,15.708,-0.69526,-2.29005,1.25465,0.753662,2.50644,106.633,337.963,956.004,142.477,136.179,4.64457
1.25,180.64,26.5813,15.763,15.708,-0.728773,-1.76683,0.858175,0.727513,1.96745,87.7837,166.005,1006.84,144.672,140.329,29.8157
1.275,181.283,27.6429,17.6235,15.708,-0.760624,-1.14339,0.448891,0.741158,1.29886,73.6209,28.4261,1020.97,146.512,141.04,55.34
1.3,181.355,28.7602,18.3926,15.708,-0.790742,-0.455091,0.0499328,0.780051,0.536935,63.2171,-68.7632,1038.69,148.093,139.321,81.3073
1.325,180.899,29.9405,17.9933,15.708,-0.819058,0.259019,-0.318038,0.823963,-0.278752,52.7625,-149.485,1096.71,149.412,135.584,108.725
1.35,179.99,31.1618,16.4097,15.708,-0.845507,0.958437,-0.634812,0.852673,-1.1056,36.9546,-261.01,1208.58,150.336,129.059,138.939
1.375,178.729,32.3814,13.6911,15.708,-0.870029,1.60349,-0.880068,0.851445,-1.89794,11.3202,-455.822,1351.86,150.619,117.663,172.736
1.4,177.246,33.5492,9.95529,15.708,-0.892567,2.15759,-1.0353,0.815224,-2.60807,-25.3263,-767.395,1468.46,149.985,98.4782,209.447
1.425,175.688,34.624,5.38701,15.708,-0.913071,2.5893,-1.08766,0.750385,-3.18926,-69.281,-1188.68,1480.53,148.253,68.7613,246.46
1.45,174.207,35.5883,0.229376,15.708,-0.931494,2.87414,-1.03374,0.673191,-3.60071,-112.066,-1662.86,1318.91,145.452,27.1898,279.433
1.475,172.946,36.4551,-5.23211,15.708,-0.947794,2.99595,-0.880974,0.60518,-3.81284,-142.616,-2093.15,954.762,141.886,-25.1391,303.302
1.5,172.021,37.2672,-10.6903,15.708,-0.961934,2.94782,-0.645758,0.56691,-3.81057,-151.091,-2371.77,421.82,138.109,-84.4334,313.848
1.525,171.52,38.0867,-15.8374,15.708,-0.973881,2.73248,-0.349319,0.572137,-3.59335,-133.055,-2420.12,-182.415,134.783,-144.936,309.287
1.55,171.501,38.9806,-20.3815,15.708,-0.983608,2.36215,-0.0136607,0.624085,-3.17235,-92.3254,-2225.45,-721.394,132.475,-200.573,291.252
1.575,171.988,40.0041,-24.058,15.708,-0.991094,1.85783,0.340514,0.71447,-2.56668,-41.0597,-1857.96,-1064.71,131.448,-247.022,264.635
1.6,172.982,41.1859,-26.6373,15.708,-0.99632,1.24813,0.693422,0.825105,-1.80069,3.42242,-1458.28,-1138.74,131.534,-283.479,236.166
1.625,174.449,42.5203,-27.9314,15.708,-0.999275,0.567626,1.02425,0.931548,-0.903461,24.3011,-1195.88,-963.648,132.141,-313.376,212.075
1.65,176.324,43.9645,-27.8033,15.708,-0.999953,-0.145072,1.30931,1.00828,0.0894018,11.5806,-1210.54,-660.841,132.431,-343.64,195.554
1.675,178.505,45.4467,-26.1811,15.708,-0.998352,-0.849541,1.52226,1.03472,1.13251,-33.1598,-1556.21,-424.634,131.602,-382.545,184.938
1.7,180.85,46.8805,-23.0753,15.708,-0.994475,-1.50582,1.63754,1.00099,2.16828,-95.4826,-2167.78,-463.813,129.215,-436.739,173.343
1.725,183.195,48.1861,-18.5946,15.708,-0.988331,-2.07669,1.63662,0.911528,3.12814,-151.185,-2865.48,-929.857,125.435,-508.376,150.096
1.75,185.364,49.3105,-12.9518,15.708,-0.979935,-2.52976,1.51426,0.784936,3.93943,-173.299,-3400.82,-1855.52,121.103,-593.397,103.708
1.775,187.199,50.2405,-6.45318,15.708,-0.969305,-2.83933,1.28115,0.649298,4.53686,-141.049,-3533.58,-3127.75,117.576,-681.736,25.5146
1.8,188.575,51.0061,0.527921,15.708,-0.956466,-2.98785,0.960681,0.534501,4.87372,-47.7218,-3116.05,-4510.56,116.383,-759.637,-87.2493
1.825,189.408,51.6713,7.586,15.708,-0.941447,-2.96689,0.581929,0.464351,4.92747,95.7966,-2152.55,-5716.96,118.778,-813.451,-230.173
1.85,189.656,52.3173,14.315,15.708,-0.924282,-2.77764,0.172803,0.451019,4.69776,263.883,-806.742,-6508.21,125.375,-833.62,-392.879
1.875,189.307,53.0233,20.3303,15.708,-0.90501,-2.43083,-0.243355,0.492879,4.19942,425.136,653.629,-6783.2,136.004,-817.279,-562.459
1.9,188.38,53.8475,25.2793,15.708,-0.883675,-1.94614,-0.647236,0.575416,3.45509,554.427,1958.93,-6619.08,149.864,-768.306,-727.936
1.925,186.918,54.8136,28.8477,15.708,-0.860326,-1.35106,-1.02064,0.674467,2.49118,643.267,2948.79,-6240.67,165.946,-694.586,-883.952
1.95,184.994,55.9039,30.7654,15.708,-0.835017,-0.679339,-1.34334,0.761151,1.33883,703.952,3646.06,-5924.01,183.545,-603.435,-1032.05
1.975,182.714,57.0613,30.822,15.708,-0.807804,0.030914,-1.59191,0.808036,0.0395211,765.106,4258.58,-5868.14,202.672,-496.97,-1178.76
2,180.219,58.2012,28.8925,15.708,-0.77875,0.739413,-1.74188,0.795755,-1.34707,859.554,5100.45,-6084.93,224.161,-369.459,-1330.88
2.025,177.678,59.2304,24.9712,15.708,-0.747921,1.40597,-1.77372,0.718537,-2.73756,1008.59,6455.18,-6354.43,249.376,-208.079,-1489.74
2.05,175.272,60.0706,19.202,15.708,-0.715387,1.99278,-1.67997,0.586574,-4.02765,1208.57,8428.39,-6273.58,279.59,2.63036,-1646.58
2.075,173.167,60.6775,11.8872,15.708,-0.681222,2.46655,-1.46953,0.423699,-5.1067,1425.63,10848.6,-5393.84,315.231,273.845,-1781.43
2.1,171.497,61.0511,3.46471,15.708,-0.645505,2.80041,-1.16559,0.260801,-5.88002,1602.41,13266.4,-3407.77,355.291,605.504,-1866.62
2.125,170.354,61.2337,-5.54273,15.708,-0.608317,2.97542,-0.798333,0.127491,-6.28838,1676.21,15072.2,-316.187,397.196,982.31,-1874.52
2.15,169.785,61.2982,-14.5875,15.708,-0.569742,2.98166,-0.396915,0.04502,-6.31443,1603.44,15708.3,3499.65,437.282,1375.02,-1787.03
2.175,169.807,61.33,-23.146,15.708,-0.529868,2.81877,0.0149947,0.0221922,-5.97498,1380.99,14901.9,7351.76,471.807,1747.56,-1603.24
2.2,170.407,61.4079,-30.7465,15.708,-0.488787,2.49599,0.419336,0.0544271,-5.30612,1054.76,12825.1,10462.4,498.176,2068.19,-1341.68
2.225,171.554,61.5874,-36.9779,15.708,-0.446591,2.03163,0.800989,0.125294,-4.35034,709.212,10096.4,12257.6,515.906,2320.6,-1035.24
2.25,173.194,61.8881,-41.4913,15.708,-0.403378,1.45203,1.14442,0.209899,-3.15095,439.331,7599.62,12625.1,526.89,2510.59,-719.61
2.275,175.244,62.2888,-44.0048,15.708,-0.359245,0.790066,1.43132,0.279751,-1.75476,313.813,6165.71,12026.2,534.735,2664.73,-418.956
2.3,177.594,62.731,-44.3209,15.708,-0.314294,0.0832886,1.64071,0.30873,-0.220719,343.155,6226.85,11393.9,543.314,2820.41,-134.108
2.325,180.104,63.131,-42.3581,15.708,-0.268626,-0.628214,1.75211,0.279288,1.37029,465.733,7574.57,11831.8,554.957,3009.77,161.688
