Time,phi,theta,psi,p,q,r,phi_dot,theta_dot,psi_dot,V_NED_x,V_NED_y,V_NED_z,Pos_NED_x,Pos_NED_y,Pos_NED_z
0,0,5.72958,0,15.708,1,0,0,1,0,101.269,0,-10.1269,10.1269,0,-1.01269
0.1,2.35386,11.1075,14.2875,15.708,0.981818,2.44882,0.410826,0.938629,2.49364,100.274,40.4169,18.8844,20.1543,4.04169,0.875749
0.2,7.98126,15.031,31.3373,15.708,0.927931,2.8292,0.982168,0.68478,2.97576,95.8964,27.8961,123.477,29.7439,6.8313,13.2234
0.3,14.6695,18.8653,37.1134,15.708,0.840301,0.819847,1.16732,0.669205,1.00812,91.7842,-19.3915,184.804,38.9223,4.89215,31.7038
0.4,21.8073,26.0695,27.3582,15.708,0.722113,-1.882,1.24577,1.25737,-1.70261,77.1683,59.9861,419.594,46.6392,10.8908,73.6632
0.5,39.3864,37.1235,11.6444,15.708,0.577666,-2.99419,3.06814,1.9293,-2.74258,28.3422,-279.919,1012.49,49.4734,-17.1011,174.912
0.6,105.89,45.7123,10.2916,15.708,0.412212,-1.57728,11.607,1.49903,-0.23611,14.3782,-983.679,974.303,50.9112,-115.469,272.342
0.7,155.482,40.5925,5.23319,15.708,0.231768,1.17191,8.65555,-0.893576,-0.882851,-4.8401,-172.601,1524.76,50.4272,-132.729,424.818
0.8,165.107,35.1566,-14.7397,15.708,0.0428957,2.93122,1.6798,-0.948746,-3.48592,-326.149,-895.342,5708.45,17.8123,-222.263,995.663
0.9,169.562,33.3177,-29.9348,15.708,-0.147537,2.21463,0.777531,-0.320943,-2.65204,-581.699,-6739.62,7124.07,-40.3576,-896.225,1708.07
1,177.207,35.4279,-27.5978,15.708,-0.332604,-0.372591,1.33438,0.368297,0.407874,-512.2,-4182.45,7096.78,-91.5776,-1314.47,2417.75
1.1,185.6,37.6896,-8.56585,15.708,-0.505576,-2.64509,1.46471,0.394744,3.32171,-2286.8,-590.311,32812.8,-320.257,-1373.5,5699.03
1.2,188.456,39.4527,11.5821,15.708,-0.660162,-2.68337,0.498548,0.307709,3.51648,-5384.23,-36182.7,62395.2,-858.68,-4991.77,11938.5
1.3,183.583,43.7223,15.6008,15.708,-0.790742,-0.455091,-0.850526,0.745191,0.701386,-6980.11,-61715.4,74988.6,-1556.69,-11163.3,19437.4
1.4,175.251,48.2735,-2.5567,15.708,-0.892567,2.15759,-1.45425,0.79434,-3.16907,-17653.3,-105511,205630,-3322.02,-21714.4,40000.4
1.5,171.178,51.2692,-29.7885,15.708,-0.961934,2.94782,-0.710804,0.52284,-4.75285,-31015.2,-436259,268131,-6423.53,-65340.3,66813.5
1.6,173.809,56.2055,-42.7577,15.708,-0.99632,1.24813,0.459136,0.861546,-2.26355,-11616.8,-605705,-60518.3,-7585.22,-125911,60761.7
1.7,176.243,61.2283,-25.5805,15.708,-0.994475,-1.50582,0.424905,0.876642,2.99799,-42579.5,-113818,545189,-11843.2,-137293,115281
1.8,163.131,63.2906,10.572,15.708,-0.956466,-2.98785,-2.28848,0.359941,6.3098,-210844,-1.183e+06,2.46589e+06,-32927.6,-255592,361870
1.9,154.834,66.6409,27.7937,15.708,-0.883675,-1.94614,-1.44816,0.584742,3.00575,-290100,-4.00444e+06,2.52138e+06,-61937.6,-656036,614008
2,208.409,67.7663,19.0215,15.708,-0.77875,0.739413,9.35056,0.196423,-1.53105,-490781,-5.24821e+06,4.82355e+06,-111016,-1.18086e+06,1.09636e+06
2.1,268.381,69.5021,14.4094,15.708,-0.645505,2.80041,10.4671,0.302956,-0.80496,-1.25917e+06,-1.56011e+07,1.15901e+07,-236933,-2.74096e+06,2.25537e+06
2.2,230.377,72.8248,6.6473,15.708,-0.488787,2.49599,-6.63299,0.579909,-1.35474,-958008,-3.59647e+07,-9559.54,-332734,-6.33743e+06,2.25442e+06
2.3,249.371,72.7415,6.32847,15.708,-0.314294,0.0832886,3.31513,-0.0145363,-0.0556475,-642861,-3.20527e+07,-2.9072e+06,-397020,-9.5427e+06,1.9637e+06
2.4,244.091,75.3762,-10.1904,15.708,-0.128371,-2.39976,-0.921593,0.459852,-2.88309,-6.08632e+06,-6.68893e+07,5.91362e+07,-1.00565e+06,-1.62316e+07,7.87732e+06
2.5,255.998,80.4578,-53.6795,15.708,0.0622191,-2.85581,2.07818,0.886902,-7.59028,-7.58759e+06,-2.1924e+08,2.39481e+07,-1.76441e+06,-3.81557e+07,1.02721e+07
2.6,48.3982,79.0173,-57.814,15.708,0.250547,-0.899649,-36.2329,-0.25142,-0.721593,-290264,-2.43808e+08,-8.53371e+07,-1.79344e+06,-6.25364e+07,1.73841e+06
2.7,77.8654,81.5554,-70.0652,15.708,0.429764,1.81642,5.143,0.442987,-2.13825,-3.0066e+07,-3.24887e+08,2.94152e+08,-4.80004e+06,-9.50251e+07,3.11536e+07
2.8,292.883,73.1987,-63.9738,15.708,0.593352,2.99822,37.5276,-1.45852,1.06315,-6.9913e+07,-1.31698e+09,4.78263e+08,-1.17913e+07,-2.26723e+08,7.89799e+07
2.9,184.011,75.8382,-78.595,15.708,0.735364,1.64752,-19.0018,0.460665,-2.55188,-3.62007e+07,-2.30958e+09,-3.48707e+08,-1.54114e+07,-4.5768e+08,4.41092e+07
3,184.385,70.5496,-57.9378,15.708,0.850633,-1.09479,0.0652961,-0.923027,3.60536,-1.31942e+08,-3.68744e+09,4.62188e+08,-2.86056e+07,-8.26424e+08,9.0328e+07
