Time,phi,theta,psi,p,q,r,phi_dot,theta_dot,psi_dot,V_NED_x,V_NED_y,V_NED_z,Pos_NED_x,Pos_NED_y,Pos_NED_z
0,0,11.4592,0,15.708,1,0,0,1,0,101.269,0,-20.2537,20.2537,0,-4.05074
0.2,14.6333,18.7888,34.5521,15.708,0.927931,2.8292,1.27699,0.639633,3.01524,97.5098,116.345,140.971,39.7557,23.269,24.1435
0.4,42.2966,34.7476,16.3322,15.708,0.722113,-1.882,2.41408,1.39266,-1.58998,89.4889,546.328,27.4228,57.6535,132.535,29.6281
0.6,152.654,46.1002,25.0553,15.708,0.412212,-1.57728,9.63048,0.990702,0.761232,34.4758,1264.88,940.681,64.5486,385.51,217.764
0.8,171.319,41.0284,-10.7792,15.708,0.0428957,2.93122,1.62882,-0.442598,-3.12715,213.528,3653.07,-5708.66,107.254,1116.12,-923.967
1,169.75,44.5882,-5.05652,15.708,-0.332604,-0.372591,-0.136943,0.31065,0.4994,210.889,628.751,-3101.71,149.432,1241.87,-1544.31
1.2,131.055,47.7362,29.2912,15.708,-0.660162,-2.68337,-3.37673,0.274721,2.9974,3572.51,-33139.2,-63874.8,863.934,-5385.97,-14319.3
1.4,226.86,39.9671,8.91348,15.708,-0.892567,2.15759,8.36058,-0.677985,-1.77829,8079.32,-227393,-19884.4,2479.8,-50864.6,-18296.1
1.6,209.603,48.8083,-0.0121726,15.708,-0.99632,1.24813,-1.50595,0.771544,-0.77891,26651.2,-310565,-443699,7810.03,-112978,-107036
1.8,159.057,46.2547,35.21,15.708,-0.956466,-2.98785,-4.41097,-0.22285,3.07371,-71109.4,-593313,2.39515e+06,-6411.85,-231640,371994
2,174.083,51.4141,25.3547,15.708,-0.77875,0.739413,1.31126,0.450247,-0.86003,-222350,1.39954e+06,4.73735e+06,-50881.9,48267,1.31946e+06
2.2,190.554,51.0264,-21.1966,15.708,-0.488787,2.49599,1.43732,-0.0338384,-4.06237,-1.17064e+06,1.91666e+06,2.9524e+07,-285010,431599,7.22427e+06
2.4,194.55,49.0636,20.5657,15.708,-0.128371,-2.39976,0.348744,-0.171284,3.64445,-1.52006e+06,6.8222e+07,-1.7096e+07,-589022,1.4076e+07,3.80508e+06
2.6,194.071,46.5624,33.039,15.708,0.250547,-0.899649,-0.0417628,-0.218267,1.0885,-6.11806e+06,1.21557e+08,6.02254e+07,-1.81263e+06,3.83874e+07,1.58502e+07
2.8,225.769,39.8291,1.13387,15.708,0.593352,2.99822,2.76613,-0.587591,-2.78425,2.46434e+07,3.87141e+08,-9.81929e+08,3.11604e+06,1.15816e+08,-1.80536e+08
3,192.871,29.6558,9.32182,15.708,0.850633,-1.09479,-2.87084,-0.887789,0.714533,9.80239e+07,-7.49071e+08,-1.97556e+09,2.27208e+07,-3.39985e+07,-5.75648e+08
3.2,189.529,13.8506,34.7088,15.708,0.985307,-2.26996,-0.291646,-1.37927,2.21543,3.71182e+08,1.3942e+09,-1.10484e+10,9.69572e+07,2.44841e+08,-2.78533e+09
3.4,181.626,5.12008,3.59595,15.708,0.977961,2.60478,-0.689722,-0.761881,-2.71511,9.17351e+07,-2.2002e+10,1.61139e+10,1.15304e+08,-4.15555e+09,4.37445e+08
